Tag Number, birthyear, lambs in years 2016-2020
0, 0, [0, 0, 0, 0, 0]
08-51, 2008, [2, 0, 0, 0, 0]
08-59, 2008, [1, 0, 0, 0, 0]
826_034284703874, 2008, [1, 1, 0, 0, 0]
08-23, 2008, [2, 0, 0, 0, 0]
08-100, 2008, [1, 0, 0, 0, 0]
09-90, 2009, [1, 0, 0, 0, 0]
09-40, 2009, [2, 0, 0, 0, 0]
09-47, 2009, [1, 0, 0, 0, 0]
09-7, 2009, [1, 0, 0, 0, 0]
826_034284703876, 2009, [1, 0, 0, 0, 0]
09-87, 2009, [1, 0, 0, 0, 0]
09-96, 2009, [1, 0, 0, 0, 0]
09-13, 2009, [1, 0, 0, 0, 0]
826_034284703875, 2009, [1, 2, 0, 0, 0]
09-08, 2009, [1, 0, 0, 0, 0]
09-107, 2009, [1, 0, 0, 0, 0]
826_034284700234, 2010, [1, 2, 2, 1, 0]
826_034284700272, 2010, [2, 1, 0, 0, 0]
826_034284700147, 2010, [1, 1, 0, 0, 0]
826_034284700076, 2010, [1, 0, 0, 0, 0]
826_034284700021, 2010, [2, 0, 0, 0, 0]
826_034284700208, 2010, [2, 0, 0, 0, 0]
826_034284700169, 2010, [2, 1, 0, 0, 0]
826_034284700222, 2010, [1, 2, 0, 0, 0]
826_034284700046, 2010, [2, 0, 0, 0, 0]
826_034284700285, 2010, [2, 0, 0, 0, 0]
826_034284700704, 2011, [2, 1, 1, 1, 1]
826_034284700879, 2011, [1, 1, 2, 1, 0]
826_034284700824, 2011, [0, 1, 2, 1, 0]
826_034284700828, 2011, [1, 3, 1, 0, 1]
826_034284700817, 2011, [1, 2, 2, 1, 1]
826_034284700741, 2011, [2, 1, 1, 2, 2]
826_034284700679, 2011, [1, 0, 0, 0, 0]
826_034284700743, 2011, [1, 2, 1, 1, 1]
826_034284701298, 2012, [1, 1, 0, 0, 0]
826_034284701413, 2012, [1, 1, 1, 0, 0]
826_034284701350, 2012, [2, 0, 0, 0, 0]
826_034284701341, 2012, [1, 1, 1, 1, 2]
826_034284701357, 2012, [0, 2, 2, 2, 1]
826_034284701391, 2012, [0, 2, 2, 0, 0]
826_034284701388, 2012, [1, 2, 0, 1, 2]
826_034284701288, 2012, [1, 1, 2, 1, 2]
826_034284701327, 2012, [2, 1, 2, 0, 0]
826_034284701334, 2012, [1, 2, 1, 0, 0]
826_034284701359, 2012, [1, 2, 1, 1, 2]
826_034284701367, 2012, [1, 1, 1, 1, 1]
826_034284701307, 2012, [1, 1, 0, 0, 0]
826_034284701313, 2012, [1, 2, 0, 0, 0]
826_034284701390, 2012, [1, 1, 1, 1, 1]
826_034284701364, 2012, [0, 1, 2, 1, 1]
826_034284701615, 2013, [2, 1, 2, 0, 0]
826_034284701720, 2013, [1, 1, 1, 1, 1]
826_034284701603, 2013, [1, 1, 2, 0, 0]
826_034284701617, 2013, [0, 1, 1, 1, 1]
826_034284701705, 2013, [1, 1, 1, 1, 1]
826_034284701315, 2013, [1, 0, 0, 0, 0]
826_034284701647, 2013, [1, 2, 2, 1, 1]
826_034284701742, 2013, [0, 1, 1, 0, 0]
826_034284701708, 2013, [1, 1, 2, 1, 1]
826_034284701650, 2013, [1, 1, 1, 1, 1]
826_034284701679, 2013, [2, 1, 2, 1, 1]
826_034284701649, 2013, [1, 1, 2, 1, 2]
826_034284701656, 2013, [1, 1, 2, 1, 1]
826_034284701765, 2013, [1, 1, 2, 1, 1]
826_034284701674, 2013, [1, 1, 1, 1, 2]
826_034284701809, 2013, [1, 1, 2, 1, 2]
826_034284701685, 2013, [1, 1, 0, 0, 0]
826_034284701732, 2013, [1, 1, 2, 2, 1]
826_034284701761, 2013, [2, 0, 0, 0, 0]
826_034284701633, 2013, [0, 1, 2, 1, 2]
826_034284701321, 2013, [2, 1, 0, 0, 0]
826_034284701734, 2013, [0, 2, 1, 1, 0]
826_034284701654, 2013, [2, 2, 1, 1, 2]
826_034284701706, 2013, [0, 2, 1, 1, 1]
826_034284701988, 2014, [1, 1, 2, 1, 2]
826_034284702167, 2014, [1, 0, 1, 2, 1]
826_034284702053, 2014, [1, 1, 2, 0, 2]
826_034284702080, 2014, [1, 0, 1, 1, 1]
826_034284702024, 2014, [1, 2, 1, 1, 2]
826_034284701983, 2014, [1, 0, 0, 0, 0]
826_034284702055, 2014, [2, 1, 1, 0, 0]
826_034284702015, 2014, [1, 1, 0, 0, 0]
826_034284702060, 2014, [0, 2, 2, 0, 0]
826_034284702025, 2014, [1, 2, 1, 1, 2]
826_034284702038, 2014, [1, 2, 2, 1, 2]
826_034284702032, 2014, [0, 1, 2, 1, 1]
